代號,公司,扣抵稅率,配息,除息日,配股,除權日,股價,現金殖利率,殖利率,還原殖利率,發息日,配息率,董監持股,3年平均股利,6年平均股利,10年平均股利,10年股利次數,1QEPS,2QEPS,3QEPS,今年累積EPS,去年EPS,本益比,股價淨值比,5%每萬元買抵稅,5%持有一張抵稅,12%萬買,12%一張,20%萬買,20%一張,30%萬買,30%一張,多少張以上要繳健保費,一張繳健保費,
2227,裕日車,18.91%,12.5,08/25,0,,207.5,6.02%,6.02%,6.65%,09/29,89.99%,88.46%,20.66,15.18,9.59,8,3.64,0,0,3.64,13.89,14.71,2.74,23.99,497.78,-22.17,-459.95,-74.92,-1554.5,-140.85,-2922.69,1.4618,261.32,
2228,劍麟,17.39%,4.5,07/28,0,,220.5,2.04%,2.04%,2.24%,08/19,52.63%,25.68%,3.83,3.77,2.46,8,2.39,0,0,2.39,8.55,25.26,4.71,6.65,146.71,-8.87,-195.68,-26.62,-586.98,-48.8,-1076.11,4.0889,93.42,
2230,泰茂,33.91%,0.59999997,08/01,0,,15.6,3.85%,3.85%,4.63%,08/19,142.86%,20.12%,0.67,0.63,0.59,9,0.01,0,0,0.01,0.42,48.75,1.16,42.72,66.64,11.23,17.52,-24.75,-38.62,-69.74,-108.79,28.501,13.4,
2231,為升,15.15%,8.9764763,08/03,0.9973,10/06,386.5,2.32%,2.58%,2.79%,08/17,74.15%,25.57%,8.99,6.16,4.45,9,3.2,0,0,3.2,13.45,28.59,11.58,5.67,219.05,-13.76,-532,-35.97,-1390.34,-63.73,-2463.27,1.8641,204.93,
2233,宇隆,18.02%,3,,0,,84.1,3.57%,3.57%,3.92%,,59.17%,9.7%,4.25,3.87,2.33,6,1.16,0,0,1.16,5.07,16.62,1.86,12.7,106.79,-14.52,-122.14,-45.63,-383.76,-84.52,-710.79,6.1156,62.46,
2235,謚源,20.69%,5,07/12,0,,118,4.24%,4.24%,4.73%,08/15,80.39%,42.4%,4.33,2.68,1.61,6,1.31,0,0,1.31,6.22,19.31,3.69,20.46,241.39,-12.27,-144.82,-49.68,-586.2,-96.43,-1137.93,3.625,105.38,
2236,F-百達,0%,0.4,,1,,58,0.69%,2.41%,2.41%,,74.47%,25.39%,0.91,0.46,0.27,2,1.07,0,0,1.07,1.88,22.22,1.72,0,0,0,0,0,0,0,0,0,0,
2239,F-英利,0%,4,08/29,0,,170,2.35%,2.35%,2.35%,,38.39%,46.36%,1.33,0.67,0.4,1,3.09,0,0,3.09,10.42,16.7,2.09,0,0,0,0,0,0,0,0,0,0,
2301,光寶科,11.41%,2.1860079,08/24,0.04990885,08/24,47.8,4.57%,4.68%,4.96%,09/27,71.89%,7.97%,2.34,2.44,2.47,10,0.74,0,0,0.74,3.11,15.13,1.44,1.96,9.39,-32.65,-156.06,-72.2,-345.14,-121.65,-581.48,8.4621,45.14,
2302,麗正,12.93%,0.024052,,0,,6.2,0.39%,0.39%,0.41%,,80.17%,26.63%,0.26,0.16,0.1,4,0.05,0,0,0.05,0.03,34.44,0.6,0.44,0.27,-2.45,-1.52,-5.75,-3.57,-9.88,-6.13,781.0376,0.49,
2303,聯電,6.18%,0.55,07/12,0,,11.9,4.62%,4.62%,4.77%,08/11,50.93%,6.22%,0.53,0.6,0.61,9,0.02,0,0,0.02,1.08,18.89,0.67,-9.54,-11.35,-42.89,-51.04,-81.01,-96.4,-128.66,-153.1,35.2737,10.83,
2308,台達電,2.2%,5,07/07,0,,168,2.98%,2.98%,3.01%,07/29,65.19%,6.25%,5.9,5.28,5.03,10,1.5,0,0,1.5,7.67,22.67,3.77,-11.77,-197.75,-32.83,-551.6,-56.9,-956,-86.99,-1461.5,3.9565,96.55,
2311,日月光,8.66%,1.6,08/15,0,,38,4.21%,4.21%,4.4%,09/09,62.75%,18.1%,1.63,1.63,1.66,10,0.54,0,0,0.54,2.55,15.14,1.84,-3.73,-14.18,-34.48,-131.03,-69.63,-264.58,-113.55,-431.5,11.9812,31.88,
2312,金寶,20.48%,0.3,,0,,11.95,2.51%,2.51%,2.8%,,29.41%,6.19%,0.1,0.1,0.21,6,0.33,0,0,0.33,1.02,11.27,0.95,11.87,14.18,-7.5,-8.97,-29.64,-35.42,-57.32,-68.5,60.4741,6.32,
2313,華通,0.96%,1,07/12,0,,16.7,5.99%,5.99%,6.02%,08/10,41.49%,7.51%,0.7,0.52,0.36,7,0.22,0,0,0.22,2.41,7.42,0.95,-27.21,-45.44,-69.33,-115.78,-117.46,-196.16,-177.63,-296.64,19.9045,19.19,
2316,楠梓電,0.56%,4.5,07/05,0,,22.85,19.69%,19.69%,19.75%,07/28,29.94%,11.05%,2.27,1.17,0.7,4,-0.14,0,0,-0.14,15.03,1.47,0.68,-93.23,-213.03,-231.47,-528.91,-389.46,-889.92,-586.95,-1341.18,4.432,86.19,
2317,鴻海,12.96%,4,,1,,87.9,4.55%,5.69%,6.08%,,53.08%,12.98%,4.1,3.22,3.46,10,1.76,0,0,1.76,9.42,9.54,1.34,6.58,57.8,-35.82,-314.88,-84.28,-740.8,-144.85,-1273.2,3.7566,101.69,
2324,仁寶,11.5%,1.2,07/26,0,,20.05,5.99%,5.99%,6.35%,08/23,59.7%,6.14%,1.4,1.55,1.76,10,0.37,0,0,0.37,2.01,10.61,0.84,2.77,5.55,-41.54,-83.28,-92.17,-184.8,-155.46,-311.7,15.7604,24.24,
2325,矽品,19.8%,3.8,06/23,0,,48,7.92%,7.92%,8.79%,07/21,135.23%,3.71%,2.87,2.21,2.58,10,0.51,0,0,0.51,2.81,19.28,2.07,34.87,167.39,-26.03,-124.94,-95.63,-459.04,-182.64,-876.66,4.789,79.77,
2327,國巨,9.17%,2,06/21,0,,54.4,3.68%,3.68%,3.85%,07/07,36.5%,8.16%,2.03,1.03,0.73,8,1.25,0,0,1.25,5.48,10.04,1.39,-2.37,-12.89,-29.28,-159.3,-60.04,-326.64,-98.49,-535.81,9.5616,39.95,
2328,廣宇,10.97%,0.35,,0,,15.5,2.26%,2.26%,2.39%,,63.64%,5.35%,0.33,0.3,0.49,9,-0.04,0,0,-0.04,0.55,20.95,0.8,0.48,0.74,-16.2,-25.11,-35.25,-54.64,-59.07,-91.56,54.1715,7.05,
2330,台積電,12.71%,6,06/27,0,,172.5,3.48%,3.48%,3.71%,07/21,50.76%,7%,5,4,3.62,10,2.5,0,0,2.5,11.82,15.31,3.49,3.61,62.24,-22.29,-384.46,-51.88,-894.96,-88.87,-1533.09,3.1342,121.88,
2331,精英,17.96%,2,07/14,0,,16.4,12.2%,12.2%,13.4%,08/17,96.62%,39.92%,3.33,2.16,1.44,8,0.23,0,0,0.23,2.07,10.12,0.64,43.06,70.62,-49.97,-81.95,-156.29,-256.32,-289.2,-474.28,9.176,41.63,
2332,友訊,45.9%,0.3,07/13,0,,12.2,2.46%,2.46%,3.19%,08/10,-10.34%,5.4%,0.66,0.91,1.35,10,-0.34,0,0,-0.34,-2.9,-4.25,0.74,41.32,50.41,20.15,24.59,-4.03,-4.92,-34.27,-41.81,54.2226,7.05,
2338,光罩,0%,0.3,07/11,0,,8.63,3.48%,3.48%,3.48%,08/04,-200%,23.06%,0.47,0.58,0.73,10,-0.21,0,0,-0.21,-0.15,-22.71,0.55,-17.38,-15,-41.71,-36,-69.52,-60,-104.29,-90,66.6667,5.73,
